,splitName,playerName,workload,perceivedWorkload,metabolicWorkload,mechanicalWorkload,kinematicWorkload,cardioWorkload
42,Session,Player14,1.8,60.6,3.3,17.9,0.0,0
43,Run-and passing dr,Player14,0.6,0.0,3.3,17.9,0.0,0
44,Passing-drill 2,Player14,0.1,0.0,2.0,0.0,0.0,0
45,Passing-drill 3,Player14,0.1,0.0,0.0,2.7,0.0,0
46,Run-2,Player14,,0.0,0.0,0.0,0.0,0
47,Run-3,Player14,,0.0,0.0,0.0,0.0,0
48,Session,Player16,1.8,55.1,7.4,27.6,0.0,0
49,Run-3,Player16,,0.0,0.0,0.0,0.0,0
50,Passing-drill 1,Player16,,0.0,0.0,0.0,0.0,0
51,Run-1,Player16,,0.0,0.0,0.0,0.0,0
52,Passing-drill 3,Player16,0.1,0.0,1.3,0.0,0.0,0
53,Run-2,Player16,,0.0,0.0,0.0,0.0,0
54,Run-and passing dr,Player16,1.0,0.0,7.4,27.6,0.0,0
55,Passing-drill 2,Player16,0.6,0.0,4.4,17.7,0.0,0
56,Run-2,Player19,,0.0,0.0,0.0,0.0,0
57,Run-and passing dr,Player19,1.2,0.0,0.0,23.6,0.0,0
58,Run-3,Player19,,0.0,0.0,0.0,0.0,0
59,Session,Player19,1.7,55.1,4.5,24.5,0.0,0
60,Run-1,Player19,,0.0,0.0,0.0,0.0,0
61,Passing-drill 2,Player19,,0.0,0.0,0.0,0.0,0
62,Passing-drill 3,Player19,0.1,0.0,0.0,1.9,0.0,0
63,Passing-drill 1,Player19,0.5,0.0,0.0,9.4,0.0,0
64,Passing-drill 1,Player24,0.8,0.0,0.0,16.3,0.0,0
65,Passing-drill 2,Player24,,0.0,0.0,0.0,0.0,0
66,Run-and passing dr,Player24,1.9,0.0,0.0,38.8,0.0,0
67,Session,Player24,2.5,60.6,0.0,38.8,0.0,0
68,Passing-drill 3,Player24,0.5,0.0,0.0,9.8,0.0,0
69,Run-1,Player24,,0.0,0.0,0.0,0.0,0
70,Run-3,Player24,,0.0,0.0,0.0,0.0,0
71,Run-2,Player24,,0.0,0.0,0.0,0.0,0
72,Run-and passing dr,Player25,0.9,0.0,7.1,23.4,0.0,0
73,Passing-drill 1,Player25,0.1,0.0,1.8,0.0,0.0,0
74,Run-2,Player25,,0.0,0.0,0.0,0.0,0
75,Session,Player25,1.3,38.6,7.1,23.4,0.0,0
76,Passing-drill 3,Player25,0.1,0.0,0.0,2.9,0.0,0
77,Run-1,Player25,0.0,0.0,0.0,0.9,0.0,0
78,Passing-drill 2,Player25,0.6,0.0,3.1,16.7,0.0,0
79,Run-3,Player25,,0.0,0.0,0.0,0.0,0
80,Run-2,Player32,,0.0,0.0,0.0,0.0,0
81,Passing-drill 3,Player32,0.6,0.0,0.0,11.0,0.0,0
82,Run-1,Player32,,0.0,0.0,0.0,0.0,0
83,Run-and passing dr,Player32,1.4,0.0,0.0,29.0,0.0,0
84,Passing-drill 1,Player32,0.6,0.0,0.0,12.5,0.0,0
85,Session,Player32,2.9,77.2,0.0,29.0,0.0,0
86,Passing-drill 2,Player32,,0.0,0.0,0.0,0.0,0
87,Run-3,Player32,,0.0,0.0,0.0,0.0,0
88,First-half game,Player2,0.6,0.0,11.8,12.2,11.8,0
89,Square-5vs5 20x20m,Player2,0.6,0.0,0.0,12.6,0.0,0
90,Theme-game 10vs10 ,Player2,1.0,0.0,21.0,22.7,18.5,0
91,Second-half game,Player2,0.4,0.0,8.8,10.2,6.6,0
92,Session,Player2,2.8,78.3,42.1,57.9,41.6,0
93,warm-up and mov sk,Player2,0.0,0.0,0.0,0.9,0.0,0
94,Possession-10vs10 ,Player2,0.9,0.0,19.3,22.8,11.9,0
95,Square-5vs5 20x20m,Player5,0.3,0.0,2.3,9.5,0.0,0
96,Second-half game,Player5,0.3,0.0,6.7,6.7,0.0,0
97,Session,Player5,2.2,65.2,26.9,40.4,34.3,0
98,warm-up and mov sk,Player5,0.3,0.0,0.0,6.8,0.0,0
99,First-half game,Player5,0.3,0.0,6.2,5.2,5.7,0
100,Theme-game 10vs10 ,Player5,0.6,0.0,12.7,11.6,10.3,0
101,Possession-10vs10 ,Player5,0.6,0.0,11.5,13.3,9.9,0
102,warm-up and mov sk,Player6,0.2,0.0,0.0,3.1,0.0,0
103,Second-half game,Player6,0.3,0.0,5.5,5.9,4.4,0
104,Theme-game 10vs10 ,Player6,0.6,0.0,13.6,12.3,10.1,0
105,Possession-10vs10 ,Player6,0.6,0.0,11.3,11.3,10.6,0
106,Square-5vs5 20x20m,Player6,0.2,0.0,0.0,4.2,0.0,0
107,Session,Player6,1.8,52.2,25.5,29.7,34.3,0
108,First-half game,Player6,0.3,0.0,7.4,6.0,0.0,0
109,Theme-game 10vs10 ,Player7,0.7,0.0,11.7,17.5,9.4,0
110,First-half game,Player7,0.4,0.0,6.8,8.7,0.0,0
111,Session,Player7,2.8,91.3,25.2,52.5,29.8,0
112,warm-up and mov sk,Player7,0.2,0.0,0.0,4.8,0.0,0
113,Possession-10vs10 ,Player7,0.9,0.0,12.4,21.9,0.0,0
114,Second-half game,Player7,0.3,0.0,4.7,7.3,4.1,0
115,Square-5vs5 20x20m,Player7,0.6,0.0,0.0,12.5,0.0,0
116,Possession-10vs10 ,Player10,0.7,0.0,12.2,19.2,11.2,0
117,warm-up and mov sk,Player10,0.1,0.0,0.0,2.5,0.0,0
118,Square-5vs5 20x20m,Player10,0.7,0.0,0.0,13.2,0.0,0
119,Second-half game,Player10,0.3,0.0,4.4,6.7,4.4,0
120,Theme-game 10vs10 ,Player10,0.6,0.0,12.8,13.8,11.4,0
121,First-half game,Player10,0.3,0.0,6.7,6.1,5.9,0
122,Session,Player10,2.8,91.3,26.6,47.3,37.2,0
123,First-half game,Player14,0.3,0.0,5.3,7.1,0.0,0
124,Session,Player14,2.7,91.3,21.7,39.0,31.9,0
125,Theme-game 10vs10 ,Player14,0.6,0.0,10.3,13.3,9.7,0
126,warm-up and mov sk,Player14,0.1,0.0,0.0,1.7,0.0,0
127,Possession-10vs10 ,Player14,0.7,0.0,10.0,16.5,0.0,0
